1	3	5
1471	1592	1550
1592	1637	1550
1592	1604	1637
1604	1674	1637
1674	1733	1637
1674	1749	1733
1749	1764	1733
1764	1723	1733
1674	1743	1749
1743	1782	1749
1743	1779	1782
1779	1842	1782
1779	1874	1842
1779	1793	1874
1779	1675	1793
1675	1667	1793
1667	1688	1793
1688	1766	1793
1766	1792	1793
1766	1795	1792
1766	1728	1795
1728	1807	1795
1728	1721	1807
1721	1757	1807
1728	1664	1721
1664	1584	1721
1664	1562	1584
1562	1518	1584
1518	1582	1584
1518	1595	1582
1595	1621	1582
1595	1654	1621
1654	1754	1621
1654	1683	1754
1683	1747	1754
1747	1760	1754
1595	1565	1654
1565	1597	1654
1565	1548	1597
1565	1520	1548
1565	1518	1520
1518	1447	1520
1447	1424	1520
1424	1460	1520
1424	1308	1460
1308	1338	1460
1308	1278	1338
1278	1271	1338
1271	1257	1338
1271	1179	1257
1179	1186	1257
1179	1109	1186
1109	1074	1186
1271	1236	1179
1236	1181	1179
1236	1305	1181
1305	1263	1181
1305	1326	1263
1305	1404	1326
1404	1357	1326
1357	1351	1326
1357	1451	1351
1451	1443	1351
1443	1373	1351
1443	1458	1373
1458	1420	1373
1420	1313	1373
1420	1471	1313
1471	1321	1313
1321	1233	1313
1321	1215	1233
1215	1159	1233
1215	1192	1159
1321	1347	1215
1321	1471	1347
1471	1431	1347
1420	1464	1471
1464	1580	1471
1580	1592	1471
1580	1604	1592
1580	1675	1604
1675	1674	1604
1675	1779	1674
1779	1743	1674
1580	1603	1675
1603	1667	1675
1603	1649	1667
1649	1688	1667
1649	1620	1688
1620	1664	1688
1664	1728	1688
1728	1766	1688
1620	1563	1664
1563	1562	1664
1563	1451	1562
1451	1404	1562
1404	1518	1562
1404	1447	1518
1404	1424	1447
1404	1367	1424
1367	1308	1424
1367	1305	1308
1305	1278	1308
1305	1236	1278
1236	1271	1278
1367	1404	1305
1451	1357	1404
1563	1544	1451
1544	1458	1451
1458	1443	1451
1544	1464	1458
1464	1420	1458
1544	1580	1464
1544	1603	1580
1544	1649	1603
1544	1620	1649
1544	1563	1620
1565	1595	1518
1288	1361	1257
1288	1355	1361
1355	1390	1361
1390	1422	1361
1422	1423	1361
1288	1324	1355
1812	1757	1754
1812	1857	1757
1722	1644	1723
1644	1642	1723
1644	1622	1642
1644	1648	1622
923	938	1006
923	902	938
923	821	902
917	839	958
839	818	958
839	738	818
839	845	738
845	864	738
864	742	738
864	863	742
863	734	742
734	589	742
589	577	742
577	586	742
577	509	586
509	510	586
509	411	510
411	374	510
411	347	374
411	424	347
411	509	424
509	562	424
509	577	562
577	589	562
734	708	589
708	597	589
708	644	597
734	752	708
864	907	863
864	917	907
864	845	917
845	839	917
442	414	531
384	424	407
237	280	296
237	253	280
253	256	280
256	314	280
256	308	314
308	373	314
308	336	373
336	375	373
336	330	375
330	416	375
416	403	375
416	556	403
556	538	403
556	614	538
614	626	538
556	619	614
330	365	416
365	417	416
365	372	417
372	428	417
372	432	428
432	458	428
458	476	428
476	477	428
477	506	428
477	543	506
543	558	506
558	572	506
572	640	506
572	599	640
599	687	640
687	699	640
699	715	640
715	619	640
699	781	715
781	840	715
840	818	715
699	687	781
687	713	781
713	791	781
713	805	791
713	696	805
696	776	805
696	731	776
696	673	731
673	741	731
696	638	673
638	583	673
638	572	583
572	558	583
558	543	583
543	542	583
543	477	542
477	504	542
477	476	504
476	580	504
476	458	580
458	493	580
458	475	493
475	473	493
473	529	493
473	512	529
512	570	529
570	635	529
