1	3	5
3	17	5
17	15	5
15	6	5
15	9	6
15	24	9
24	30	9
24	50	30
50	52	30
52	43	30
52	76	43
76	63	43
52	75	76
52	69	75
52	61	69
61	84	69
61	94	84
94	109	84
109	136	84
109	135	136
135	169	136
169	162	136
169	249	162
249	303	162
303	272	162
272	157	162
272	191	157
303	347	272
347	386	272
386	395	272
386	451	395
386	556	451
556	574	451
574	603	451
603	473	451
603	535	473
535	484	473
484	456	473
484	431	456
431	352	456
431	354	352
354	278	352
354	212	278
212	186	278
186	173	278
186	151	173
151	152	173
186	155	151
186	212	155
212	171	155
171	154	155
154	88	155
88	82	155
88	83	82
83	68	82
68	77	82
83	59	68
59	14	68
14	1	68
59	7	14
59	11	7
11	8	7
8	26	7
8	49	26
49	66	26
66	32	26
32	13	26
32	35	13
35	3	13
35	17	3
35	48	17
48	38	17
38	24	17
24	15	17
38	50	24
38	80	50
80	61	50
61	52	50
80	94	61
80	103	94
103	139	94
139	109	94
139	125	109
125	120	109
120	135	109
120	125	135
125	185	135
185	234	135
234	169	135
234	249	169
234	290	249
290	303	249
290	380	303
380	347	303
380	386	347
380	449	386
449	556	386
449	503	556
503	633	556
633	638	556
638	574	556
638	603	574
633	732	638
633	709	732
709	815	732
815	798	732
798	773	732
798	905	773
905	814	773
814	786	773
786	695	773
786	764	695
764	737	695
764	800	737
800	735	737
735	648	737
735	656	648
656	596	648
596	570	648
596	486	570
486	431	570
486	425	431
425	354	431
425	384	354
384	292	354
292	224	354
224	212	354
224	171	212
224	202	171
202	154	171
202	200	154
200	149	154
202	282	200
282	315	200
282	304	315
304	384	315
384	454	315
454	371	315
454	493	371
454	612	493
612	609	493
609	494	493
454	578	612
454	446	578
454	384	446
384	441	446
384	425	441
425	486	441
304	292	384
304	282	292
282	224	292
282	202	224
764	817	800
764	786	817
786	814	817
798	949	905
949	990	905
990	1011	905
798	815	949
815	960	949
815	958	960
958	977	960
958	1111	977
958	1129	1111
1129	1224	1111
1129	1134	1224
1134	1302	1224
1302	1329	1224
1302	1351	1329
1351	1405	1329
1405	1334	1329
1334	1228	1329
1334	1270	1228
1270	1195	1228
1270	1179	1195
1179	1127	1195
1127	1011	1195
1179	1145	1127
1270	1336	1179
1270	1334	1336
1334	1387	1336
1334	1429	1387
1429	1504	1387
1504	1511	1387
1511	1432	1387
1511	1497	1432
1497	1467	1432
1497	1645	1467
1645	1521	1467
1521	1450	1467
1645	1667	1521
1667	1642	1521
1642	1607	1521
1642	1678	1607
1678	1738	1607
1738	1576	1607
1576	1533	1607
1576	1439	1533
1576	1573	1439
1573	1474	1439
1474	1404	1439
1474	1435	1404
1474	1475	1435
1475	1408	1435
1408	1315	1435
1408	1287	1315
1287	1221	1315
1221	1107	1315
1221	1173	1107
1221	1119	1173
1221	1146	1119
1146	980	1119
980	984	1119
980	881	984
1146	1104	980
1104	987	980
987	965	980
1104	1035	987
1146	1240	1104
1240	1204	1104
1240	1261	1204
1240	1267	1261
1267	1314	1261
1314	1449	1261
1314	1417	1449
1417	1471	1449
1417	1522	1471
1522	1550	1471
1417	1408	1522
1408	1549	1522
1408	1524	1549
1524	1559	1549
1524	1682	1559
1524	1647	1682
1647	1720	1682
1720	1702	1682
1702	1742	1682
1702	1862	1742
1862	1891	1742
1891	1804	1742
1804	1753	1742
1891	1950	1804
1950	1871	1804
1871	1856	1804
1871	1840	1856
1840	1817	1856
1891	2038	1950
1702	1720	1862
1720	1776	1862
1720	1738	1776
1738	1860	1776
1738	1678	1860
1678	1733	1860
1733	1851	1860
1851	1932	1860
1932	1969	1860
1851	1870	1932
1678	1667	1733
1678	1642	1667
1720	1654	1738
1654	1576	1738
1654	1573	1576
1654	1641	1573
1641	1647	1573
1647	1524	1573
1524	1475	1573
1475	1474	1573
1524	1408	1475
1641	1720	1647
1641	1654	1720
1417	1314	1408
1314	1301	1408
1301	1287	1408
1301	1221	1287
1301	1238	1221
1238	1146	1221
1238	1240	1146
1238	1267	1240
1238	1301	1267
1301	1314	1267
1497	1511	1645
1511	1676	1645
1676	1699	1645
1511	1597	1676
1511	1504	1597
1504	1603	1597
1603	1617	1597
1504	1531	1603
1531	1581	1603
1581	1683	1603
1683	1764	1603
1581	1578	1683
1578	1689	1683
1689	1740	1683
1689	1722	1740
1722	1858	1740
1722	1705	1858
1722	1619	1705
1722	1564	1619
