1	2	3
3	13	1
3	24	13
24	22	13
22	39	13
39	8	13
8	5	13
39	25	8
39	49	25
39	64	49
64	76	49
76	122	49
122	123	49
39	82	64
39	54	82
54	96	82
96	112	82
96	127	112
96	126	127
126	157	127
157	207	127
157	216	207
216	239	207
239	362	207
362	292	207
292	226	207
292	272	226
292	348	272
348	320	272
348	380	320
380	528	320
380	571	528
571	600	528
600	637	528
637	606	528
606	546	528
606	584	546
584	463	546
584	592	463
592	452	463
452	416	463
452	437	416
437	339	416
437	374	339
437	425	374
425	354	374
354	336	374
336	230	374
336	223	230
223	192	230
192	202	230
336	244	223
244	224	223
224	204	223
224	244	204
336	325	244
325	350	244
336	367	325
367	397	325
367	441	397
367	354	441
354	425	441
425	562	441
367	336	354
452	557	437
452	592	557
592	616	557
616	580	557
616	811	580
811	703	580
703	562	580
703	621	562
703	721	621
721	752	621
752	639	621
639	605	621
639	586	605
639	611	586
611	583	586
583	504	586
583	568	504
568	423	504
568	539	423
539	419	423
419	331	423
331	350	423
419	323	331
323	225	331
225	167	331
323	294	225
323	364	294
364	285	294
364	345	285
345	232	285
345	277	232
345	333	277
333	251	277
251	268	277
251	247	268
247	164	268
247	178	164
178	159	164
159	140	164
140	128	164
140	97	128
97	99	128
97	53	99
97	103	53
103	63	53
63	47	53
47	29	53
29	43	53
29	26	43
26	10	43
10	27	43
10	15	27
10	16	15
16	17	15
17	87	15
17	94	87
94	129	87
94	114	129
114	167	129
114	204	167
114	78	204
78	77	204
78	51	77
51	52	77
52	84	77
52	73	84
78	36	51
78	21	36
21	41	36
21	45	41
45	86	41
86	90	41
90	58	41
90	55	58
55	44	58
55	40	44
40	30	44
40	61	30
61	28	30
28	18	30
18	11	30
11	14	30
18	12	11
12	7	11
7	9	11
7	42	9
7	35	42
35	56	42
56	88	42
88	73	42
56	113	88
113	213	88
213	202	88
56	35	113
35	46	113
35	1	46
35	2	1
35	7	2
7	4	2
4	3	2
4	6	3
6	23	3
23	24	3
6	19	23
6	12	19
12	18	19
18	28	19
28	59	19
59	71	19
71	68	19
71	111	68
111	100	68
100	72	68
100	83	72
83	80	72
83	102	80
102	106	80
102	125	106
125	160	106
160	135	106
135	57	106
135	89	57
89	67	57
89	104	67
104	96	67
96	54	67
104	131	96
131	126	96
131	134	126
134	184	126
184	157	126
184	166	157
166	216	157
166	184	216
184	271	216
271	270	216
270	239	216
271	279	270
184	200	271
200	286	271
286	291	271
286	311	291
286	278	311
278	363	311
363	427	311
427	378	311
427	451	378
451	467	378
467	440	378
440	386	378
440	362	386
362	239	386
440	530	362
530	474	362
474	450	362
450	292	362
450	380	292
380	348	292
450	571	380
450	624	571
450	474	624
474	674	624
474	530	674
530	691	674
691	712	674
530	582	691
530	440	582
451	529	467
529	566	467
529	693	566
529	631	693
363	486	427
486	443	427
363	470	486
470	491	486
363	382	470
382	431	470
431	525	470
431	481	525
481	663	525
663	560	525
663	685	560
685	638	560
638	619	560
685	698	638
698	765	638
698	791	765
791	853	765
853	823	765
853	876	823
876	861	823
853	920	876
853	919	920
853	926	919
853	791	926
698	732	791
732	785	791
732	717	785
717	788	785
717	663	788
717	685	663
717	732	685
732	698	685
481	579	663
579	642	663
579	635	642
579	588	635
588	654	635
588	553	654
588	579	553
579	473	553
473	439	553
473	442	439
442	411	439
411	507	439
411	415	507
415	519	507
519	608	507
415	469	519
415	402	469
402	435	469
435	541	469
402	404	435
402	361	404
361	326	404
326	365	404
326	302	365
302	340	365
302	269	340
269	280	340
280	376	340
376	430	340
376	438	430
438	482	430
376	327	438
376	280	327
280	233	327
233	228	327
228	332	327
228	259	332
259	321	332
259	357	321
228	217	259
228	194	217
194	212	217
212	238	217
238	276	217
276	264	217
276	287	264
276	319	287
319	360	287
360	315	287
360	401	315
360	387	401
360	396	387
396	454	387
454	465	387
454	501	465
501	493	465
501	548	493
454	513	501
513	581	501
581	613	501
613	490	501
581	707	613
707	675	613
675	618	613
675	729	618
675	679	729
675	664	679
664	758	679
664	675	758
675	755	758
755	892	758
892	830	758
830	808	758
830	821	808
830	865	821
830	895	865
895	913	865
895	982	913
895	1005	982
895	892	1005
892	928	1005
928	980	1005
980	1008	1005
1008	1118	1005
1008	1139	1118
1139	1232	1118
1139	1161	1232
1161	1189	1232
1189	1281	1232
1281	1276	1232
1276	1167	1232
1281	1317	1276
1317	1273	1276
1317	1336	1273
1317	1383	1336
1383	1502	1336
1383	1495	1502
1317	1390	1383
1317	1281	1390
1281	1300	1390
1281	1189	1300
1161	1109	1189
1109	1094	1189
1161	1139	1109
1139	949	1109
1139	1010	949
1010	1008	949
1010	1139	1008
980	863	1008
980	928	863
895	830	892
755	769	892
755	707	769
707	655	769
655	694	769
694	690	769
694	629	690
629	723	690
629	603	723
603	696	723
696	777	723
777	829	723
777	770	829
770	863	829
777	745	770
745	782	770
745	708	782
708	746	782
746	802	782
802	884	782
884	887	782
884	918	887
802	896	884
802	816	896
816	957	896
957	991	896
957	1049	991
1049	1077	991
1049	1146	1077
1049	1119	1146
1119	1140	1146
1140	1203	1146
1203	1279	1146
1203	1257	1279
1257	1304	1279
1304	1267	1279
1304	1354	1267
1354	1268	1267
1268	1250	1267
1304	1412	1354
1412	1492	1354
1492	1463	1354
1412	1522	1492
1412	1401	1522
1401	1486	1522
1401	1384	1486
1384	1483	1486
1384	1445	1483
1445	1496	1483
1496	1577	1483
1401	1304	1384
1304	1257	1384
1257	1310	1384
1257	1297	1310
1297	1342	1310
1342	1445	1310
1342	1398	1445
1398	1407	1445
1398	1345	1407
1345	1388	1407
1388	1470	1407
1470	1531	1407
1470	1575	1531
1388	1442	1470
1442	1410	1470
1398	1342	1345
1342	1297	1345
1297	1271	1345
1297	1202	1271
1202	1244	1271
1202	1181	1244
1202	1075	1181
1075	1050	1181
1050	1080	1181
1075	950	1050
1075	1041	950
1041	869	950
869	893	950
893	986	950
986	1036	950
893	841	986
841	803	986
803	840	986
840	972	986
972	1098	986
1098	1141	986
1098	1217	1141
1217	1239	1141
1217	1240	1239
1240	1339	1239
1240	1262	1339
1240	1217	1262
972	1042	1098
1042	1112	1098
1042	955	1112
955	954	1112
955	900	954
900	883	954
883	909	954
909	945	954
945	983	954
945	973	983
973	1082	983
973	1018	1082
1018	1132	1082
973	945	1018
945	909	1018
909	890	1018
909	883	890
883	820	890
820	843	890
843	867	890
843	796	867
796	760	867
760	901	867
760	902	901
902	971	901
902	889	971
889	1032	971
1032	1155	971
1155	1131	971
1155	1293	1131
1293	1285	1131
1285	1132	1131
1285	1282	1132
1293	1348	1285
1032	1171	1155
1032	1246	1171
902	845	889
902	760	845
760	737	845
760	680	737
680	651	737
680	614	651
614	532	651
614	578	532
578	488	532
578	551	488
578	598	551
598	749	551
749	709	551
709	676	551
709	713	676
713	704	676
704	587	676
587	559	676
559	522	676
587	538	559
538	484	559
538	468	484
468	434	484
434	373	484
434	313	373
313	289	373
289	329	373
329	337	373
313	318	289
318	282	289
282	206	289
282	219	206
219	176	206
176	173	206
176	110	173
110	118	173
118	171	173
118	161	171
161	177	171
161	186	177
161	141	186
141	156	186
156	201	186
201	258	186
201	240	258
240	296	258
240	309	296
201	210	240
201	196	210
196	193	210
193	231	210
231	253	210
253	310	210
253	307	310
307	347	310
347	346	310
346	371	310
346	383	371
383	492	371
492	462	371
462	413	371
383	417	492
383	410	417
410	488	417
383	346	410
346	407	410
407	483	410
407	394	483
394	453	483
453	558	483
558	537	483
558	615	537
558	632	615
632	766	615
632	855	766
855	815	766
855	854	815
854	889	815
632	761	855
761	879	855
632	604	761
632	495	604
632	558	495
558	485	495
485	429	495
485	453	429
453	390	429
390	314	429
314	358	429
314	252	358
252	267	358
267	330	358
330	405	358
330	406	405
406	487	405
330	312	406
330	297	312
297	261	312
261	263	312
261	178	263
178	243	263
178	247	243
247	274	243
247	251	274
251	260	274
260	349	274
260	335	349
335	432	349
335	414	432
414	448	432
448	545	432
448	599	545
414	461	448
461	502	448
461	498	502
498	511	502
498	533	511
533	526	511
526	585	511
533	569	526
533	542	569
533	575	542
575	567	542
575	554	567
575	573	554
573	591	554
591	681	554
591	660	681
660	768	681
768	826	681
826	933	681
768	870	826
768	728	870
728	776	870
776	976	870
976	1051	870
976	1193	1051
776	942	976
942	1011	976
942	832	1011
832	847	1011
832	789	847
789	781	847
781	790	847
790	817	847
817	828	847
828	958	847
958	930	847
930	937	847
930	1012	937
1012	1079	937
1012	1067	1079
1012	1061	1067
1061	1084	1067
1061	1012	1084
1012	958	1084
1012	930	958
817	751	828
751	875	828
751	885	875
885	989	875
885	939	989
939	947	989
947	1039	989
